player_name,fantasy_score,venue,opposition_team,player_team_first_role
SK Raina,19,Green Park,Delhi Daredevils,batting
AJ Finch,77,Green Park,Delhi Daredevils,batting
DS Kulkarni,25,Green Park,Delhi Daredevils,batting
Mohammed Shami,63,Green Park,Gujarat Lions,bowling
CR Brathwaite,36,Green Park,Gujarat Lions,bowling
Z Khan,8,Green Park,Gujarat Lions,bowling
SV Samson,12,Green Park,Gujarat Lions,bowling
JP Faulkner,90,Green Park,Delhi Daredevils,batting
KK Nair,37,Green Park,Gujarat Lions,bowling
Basil Thampi,58,Green Park,Delhi Daredevils,batting
A Mishra,35,Green Park,Gujarat Lions,bowling
DR Smith,25,Green Park,Delhi Daredevils,batting
PJ Cummins,61,Green Park,Gujarat Lions,bowling
CJ Anderson,15,Green Park,Gujarat Lions,bowling
MN Samuels,1,Green Park,Gujarat Lions,bowling
I Sharma,0,Wankhede Stadium,Mumbai Indians,batting
HH Pandya,44,Wankhede Stadium,Kings XI Punjab,bowling
MM Sharma,58,Wankhede Stadium,Mumbai Indians,batting
LMP Simmons,68,Wankhede Stadium,Kings XI Punjab,bowling
MJ Guptill,67,Wankhede Stadium,Mumbai Indians,batting
MJ Henry,0,Wankhede Stadium,Mumbai Indians,batting
PA Patel,49,Wankhede Stadium,Kings XI Punjab,bowling
GJ Maxwell,82,Wankhede Stadium,Mumbai Indians,batting
SL Malinga,0,Wankhede Stadium,Kings XI Punjab,bowling
KV Sharma,49,Wankhede Stadium,Kings XI Punjab,bowling
JJ Bumrah,33,Wankhede Stadium,Kings XI Punjab,bowling
R Tewatia,25,Wankhede Stadium,Mumbai Indians,batting
RG Sharma,5,Wankhede Stadium,Kings XI Punjab,bowling
SE Marsh,27,Wankhede Stadium,Mumbai Indians,batting
AR Patel,46,Wankhede Stadium,Mumbai Indians,batting
M Vohra,8,Wankhede Stadium,Mumbai Indians,batting
Harbhajan Singh,2,Wankhede Stadium,Kings XI Punjab,bowling
Sandeep Sharma,25,Wankhede Stadium,Mumbai Indians,batting
N Rana,12,Wankhede Stadium,Kings XI Punjab,bowling
MJ McClenaghan,25,Wankhede Stadium,Kings XI Punjab,bowling
KA Pollard,57,Wankhede Stadium,Kings XI Punjab,bowling
WP Saha,108,Wankhede Stadium,Mumbai Indians,batting
MS Dhoni,41,Feroz Shah Kotla,Delhi Daredevils,bowling
SS Iyer,3,Feroz Shah Kotla,Rising Pune Supergiant,batting
RR Pant,52,Feroz Shah Kotla,Rising Pune Supergiant,batting
AM Rahane,0,Feroz Shah Kotla,Delhi Daredevils,bowling
JD Unadkat,83,Feroz Shah Kotla,Delhi Daredevils,bowling
DT Christian,36,Feroz Shah Kotla,Delhi Daredevils,bowling
BA Stokes,118,Feroz Shah Kotla,Delhi Daredevils,bowling
MN Samuels,30,Feroz Shah Kotla,Rising Pune Supergiant,batting
Washington Sundar,30,Feroz Shah Kotla,Delhi Daredevils,bowling
MK Tiwary,65,Feroz Shah Kotla,Delhi Daredevils,bowling
Mohammed Shami,74,Feroz Shah Kotla,Rising Pune Supergiant,batting
S Nadeem,33,Feroz Shah Kotla,Rising Pune Supergiant,batting
SPD Smith,38,Feroz Shah Kotla,Delhi Daredevils,bowling
A Zampa,25,Feroz Shah Kotla,Delhi Daredevils,bowling
Z Khan,58,Feroz Shah Kotla,Rising Pune Supergiant,batting
SV Samson,2,Feroz Shah Kotla,Rising Pune Supergiant,batting
KK Nair,69,Feroz Shah Kotla,Rising Pune Supergiant,batting
A Mishra,11,Feroz Shah Kotla,Rising Pune Supergiant,batting
PJ Cummins,69,Feroz Shah Kotla,Rising Pune Supergiant,batting
SN Thakur,0,Feroz Shah Kotla,Delhi Daredevils,bowling
CJ Anderson,9,Feroz Shah Kotla,Rising Pune Supergiant,batting
RA Tripathi,8,Feroz Shah Kotla,Delhi Daredevils,bowling
Ishan Kishan,70,Green Park,Sunrisers Hyderabad,batting
MM Patel,0,Green Park,Sunrisers Hyderabad,batting
DJ Hooda,8,Green Park,Gujarat Lions,bowling
PJ Sangwan,0,Green Park,Sunrisers Hyderabad,batting
S Kaul,33,Green Park,Gujarat Lions,bowling
Ankit Soni,-4,Green Park,Sunrisers Hyderabad,batting
V Shankar,72,Green Park,Gujarat Lions,bowling
RA Jadeja,20,Green Park,Sunrisers Hyderabad,batting
MC Henriques,5,Green Park,Gujarat Lions,bowling
DA Warner,74,Green Park,Gujarat Lions,bowling
KD Karthik,8,Green Park,Sunrisers Hyderabad,batting
SK Raina,2,Green Park,Sunrisers Hyderabad,batting
NV Ojha,8,Green Park,Gujarat Lions,bowling
AJ Finch,2,Green Park,Sunrisers Hyderabad,batting
Mohammed Siraj,116,Green Park,Gujarat Lions,bowling
Rashid Khan,91,Green Park,Gujarat Lions,bowling
P Kumar,51,Green Park,Sunrisers Hyderabad,batting
JP Faulkner,17,Green Park,Sunrisers Hyderabad,batting
Mohammad Nabi,0,Green Park,Gujarat Lions,bowling
DR Smith,63,Green Park,Sunrisers Hyderabad,batting
S Dhawan,28,Green Park,Gujarat Lions,bowling
B Kumar,66,Green Park,Gujarat Lions,bowling
HH Pandya,73,Eden Gardens,Kolkata Knight Riders,batting
TG Southee,50,Eden Gardens,Kolkata Knight Riders,batting
LMP Simmons,0,Eden Gardens,Kolkata Knight Riders,batting
SP Narine,8,Eden Gardens,Mumbai Indians,bowling
MK Pandey,35,Eden Gardens,Mumbai Indians,bowling
C de Grandhomme,35,Eden Gardens,Mumbai Indians,bowling
Kuldeep Yadav,43,Eden Gardens,Mumbai Indians,bowling
YK Pathan,30,Eden Gardens,Mumbai Indians,bowling
SS Tiwary,51,Eden Gardens,Kolkata Knight Riders,batting
UT Yadav,43,Eden Gardens,Mumbai Indians,bowling
CA Lynn,27,Eden Gardens,Mumbai Indians,bowling
KH Pandya,-2,Eden Gardens,Kolkata Knight Riders,batting
R Vinay Kumar,50,Eden Gardens,Kolkata Knight Riders,batting
KV Sharma,33,Eden Gardens,Kolkata Knight Riders,batting
MG Johnson,25,Eden Gardens,Kolkata Knight Riders,batting
G Gambhir,24,Eden Gardens,Mumbai Indians,bowling
RG Sharma,35,Eden Gardens,Kolkata Knight Riders,batting
AS Rajpoot,33,Eden Gardens,Mumbai Indians,bowling
AT Rayudu,83,Eden Gardens,Kolkata Knight Riders,batting
RV Uthappa,22,Eden Gardens,Mumbai Indians,bowling
TA Boult,55,Eden Gardens,Mumbai Indians,bowling
KA Pollard,15,Eden Gardens,Kolkata Knight Riders,batting
MS Dhoni,24,Maharashtra Cricket Association Stadium,Kings XI Punjab,bowling
I Sharma,1,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
EJG Morgan,5,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
AM Rahane,45,Maharashtra Cricket Association Stadium,Kings XI Punjab,bowling
MM Sharma,6,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
MJ Guptill,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
JD Unadkat,72,Maharashtra Cricket Association Stadium,Kings XI Punjab,bowling
DT Christian,58,Maharashtra Cricket Association Stadium,Kings XI Punjab,bowling
GJ Maxwell,-2,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
BA Stokes,25,Maharashtra Cricket Association Stadium,Kings XI Punjab,bowling
MK Tiwary,8,Maharashtra Cricket Association Stadium,Kings XI Punjab,bowling
SPD Smith,31,Maharashtra Cricket Association Stadium,Kings XI Punjab,bowling
A Zampa,50,Maharashtra Cricket Association Stadium,Kings XI Punjab,bowling
R Tewatia,5,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
SE Marsh,12,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
AR Patel,56,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
Sandeep Sharma,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
SN Thakur,75,Maharashtra Cricket Association Stadium,Kings XI Punjab,bowling
Swapnil Singh,10,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
RA Tripathi,32,Maharashtra Cricket Association Stadium,Kings XI Punjab,bowling
WP Saha,13,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,batting
SS Iyer,34,Feroz Shah Kotla,Royal Challengers Bangalore,bowling
CH Gayle,55,Feroz Shah Kotla,Delhi Daredevils,batting
TM Head,52,Feroz Shah Kotla,Delhi Daredevils,batting
RR Pant,52,Feroz Shah Kotla,Royal Challengers Bangalore,bowling
KM Jadhav,26,Feroz Shah Kotla,Delhi Daredevils,batting
SR Watson,33,Feroz Shah Kotla,Delhi Daredevils,batting
P Negi,97,Feroz Shah Kotla,Delhi Daredevils,batting
Sachin Baby,10,Feroz Shah Kotla,Delhi Daredevils,batting
Mohammed Shami,51,Feroz Shah Kotla,Royal Challengers Bangalore,bowling
S Nadeem,33,Feroz Shah Kotla,Royal Challengers Bangalore,bowling
V Kohli,81,Feroz Shah Kotla,Delhi Daredevils,batting
Z Khan,59,Feroz Shah Kotla,Royal Challengers Bangalore,bowling
SV Samson,0,Feroz Shah Kotla,Royal Challengers Bangalore,bowling
Vishnu Vinod,43,Feroz Shah Kotla,Delhi Daredevils,batting
YS Chahal,0,Feroz Shah Kotla,Delhi Daredevils,batting
KK Nair,29,Feroz Shah Kotla,Royal Challengers Bangalore,bowling
A Mishra,9,Feroz Shah Kotla,Royal Challengers Bangalore,bowling
PJ Cummins,81,Feroz Shah Kotla,Royal Challengers Bangalore,bowling
Avesh Khan,25,Feroz Shah Kotla,Delhi Daredevils,batting
CJ Anderson,11,Feroz Shah Kotla,Royal Challengers Bangalore,bowling
HV Patel,91,Feroz Shah Kotla,Delhi Daredevils,batting
MN Samuels,0,Feroz Shah Kotla,Royal Challengers Bangalore,bowling
MS Dhoni,52,Wankhede Stadium,Mumbai Indians,batting
RA Tripathi,-2,Wankhede Stadium,Mumbai Indians,batting
HH Pandya,25,Wankhede Stadium,Rising Pune Supergiant,bowling
AM Rahane,61,Wankhede Stadium,Mumbai Indians,batting
LMP Simmons,1,Wankhede Stadium,Rising Pune Supergiant,bowling
JD Unadkat,33,Wankhede Stadium,Mumbai Indians,batting
DT Christian,24,Wankhede Stadium,Mumbai Indians,batting
LH Ferguson,25,Wankhede Stadium,Mumbai Indians,batting
PA Patel,53,Wankhede Stadium,Rising Pune Supergiant,bowling
KH Pandya,15,Wankhede Stadium,Rising Pune Supergiant,bowling
SL Malinga,34,Wankhede Stadium,Rising Pune Supergiant,bowling
MK Tiwary,64,Wankhede Stadium,Mumbai Indians,batting
Washington Sundar,83,Wankhede Stadium,Mumbai Indians,batting
SPD Smith,17,Wankhede Stadium,Mumbai Indians,batting
KV Sharma,35,Wankhede Stadium,Rising Pune Supergiant,bowling
A Zampa,0,Wankhede Stadium,Mumbai Indians,batting
JJ Bumrah,57,Wankhede Stadium,Rising Pune Supergiant,bowling
RG Sharma,1,Wankhede Stadium,Rising Pune Supergiant,bowling
AT Rayudu,0,Wankhede Stadium,Rising Pune Supergiant,bowling
SN Thakur,114,Wankhede Stadium,Mumbai Indians,batting
MJ McClenaghan,45,Wankhede Stadium,Rising Pune Supergiant,bowling
KA Pollard,8,Wankhede Stadium,Rising Pune Supergiant,bowling
NM Coulter-Nile,75,M Chinnaswamy Stadium,Sunrisers Hyderabad,bowling
S Kaul,0,M Chinnaswamy Stadium,Kolkata Knight Riders,batting
V Shankar,24,M Chinnaswamy Stadium,Kolkata Knight Riders,batting
SP Narine,0,M Chinnaswamy Stadium,Sunrisers Hyderabad,bowling
IR Jaggi,3,M Chinnaswamy Stadium,Sunrisers Hyderabad,bowling
YK Pathan,0,M Chinnaswamy Stadium,Sunrisers Hyderabad,bowling
DA Warner,39,M Chinnaswamy Stadium,Kolkata Knight Riders,batting
UT Yadav,50,M Chinnaswamy Stadium,Sunrisers Hyderabad,bowling
TA Boult,25,M Chinnaswamy Stadium,Sunrisers Hyderabad,bowling
NV Ojha,24,M Chinnaswamy Stadium,Kolkata Knight Riders,batting
CA Lynn,16,M Chinnaswamy Stadium,Sunrisers Hyderabad,bowling
Bipul Sharma,2,M Chinnaswamy Stadium,Kolkata Knight Riders,batting
Yuvraj Singh,11,M Chinnaswamy Stadium,Kolkata Knight Riders,batting
Rashid Khan,0,M Chinnaswamy Stadium,Kolkata Knight Riders,batting
G Gambhir,34,M Chinnaswamy Stadium,Sunrisers Hyderabad,bowling
PP Chawla,41,M Chinnaswamy Stadium,Sunrisers Hyderabad,bowling
S Dhawan,20,M Chinnaswamy Stadium,Kolkata Knight Riders,batting
CJ Jordan,25,M Chinnaswamy Stadium,Kolkata Knight Riders,batting
KS Williamson,26,M Chinnaswamy Stadium,Kolkata Knight Riders,batting
RV Uthappa,7,M Chinnaswamy Stadium,Sunrisers Hyderabad,bowling
SA Yadav,16,M Chinnaswamy Stadium,Sunrisers Hyderabad,bowling
B Kumar,64,M Chinnaswamy Stadium,Kolkata Knight Riders,batting
HH Pandya,16,M Chinnaswamy Stadium,Kolkata Knight Riders,bowling
NM Coulter-Nile,33,M Chinnaswamy Stadium,Mumbai Indians,batting
SP Narine,8,M Chinnaswamy Stadium,Mumbai Indians,batting
LMP Simmons,3,M Chinnaswamy Stadium,Kolkata Knight Riders,bowling
C de Grandhomme,0,M Chinnaswamy Stadium,Mumbai Indians,batting
IR Jaggi,27,M Chinnaswamy Stadium,Mumbai Indians,batting
PA Patel,35,M Chinnaswamy Stadium,Kolkata Knight Riders,bowling
UT Yadav,27,M Chinnaswamy Stadium,Mumbai Indians,batting
KH Pandya,53,M Chinnaswamy Stadium,Kolkata Knight Riders,bowling
CA Lynn,4,M Chinnaswamy Stadium,Mumbai Indians,batting
SL Malinga,41,M Chinnaswamy Stadium,Kolkata Knight Riders,bowling
KV Sharma,108,M Chinnaswamy Stadium,Kolkata Knight Riders,bowling
MG Johnson,58,M Chinnaswamy Stadium,Kolkata Knight Riders,bowling
G Gambhir,12,M Chinnaswamy Stadium,Mumbai Indians,batting
JJ Bumrah,83,M Chinnaswamy Stadium,Kolkata Knight Riders,bowling
RG Sharma,29,M Chinnaswamy Stadium,Kolkata Knight Riders,bowling
AS Rajpoot,13,M Chinnaswamy Stadium,Mumbai Indians,batting
AT Rayudu,12,M Chinnaswamy Stadium,Kolkata Knight Riders,bowling
SA Yadav,33,M Chinnaswamy Stadium,Mumbai Indians,batting
RV Uthappa,9,M Chinnaswamy Stadium,Mumbai Indians,batting
PP Chawla,68,M Chinnaswamy Stadium,Mumbai Indians,batting
KA Pollard,12,M Chinnaswamy Stadium,Kolkata Knight Riders,bowling
MS Dhoni,11,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bowling
HH Pandya,12,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,batting
AM Rahane,57,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bowling
LMP Simmons,3,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,batting
JD Unadkat,50,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bowling
DT Christian,62,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bowling
LH Ferguson,25,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bowling
PA Patel,12,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,batting
Washington Sundar,-2,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bowling
MK Tiwary,14,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bowling
KH Pandya,46,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,batting
SL Malinga,0,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,batting
SPD Smith,65,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bowling
KV Sharma,1,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,batting
KA Pollard,25,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,batting
A Zampa,50,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bowling
MG Johnson,113,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,batting
JJ Bumrah,58,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,batting
RG Sharma,26,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,batting
AT Rayudu,19,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,batting
SN Thakur,41,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bowling
RA Tripathi,1,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,bowling
MS Dhoni,5,Wankhede Stadium,Mumbai Indians,bowling
Ishan Kishan,64,Wankhede Stadium,Chennai Super Kings,batting
HH Pandya,97,Wankhede Stadium,Chennai Super Kings,batting
KM Jadhav,23,Wankhede Stadium,Mumbai Indians,bowling
SR Watson,69,Wankhede Stadium,Mumbai Indians,bowling
Mustafizur Rahman,33,Wankhede Stadium,Chennai Super Kings,batting
RA Jadeja,13,Wankhede Stadium,Mumbai Indians,bowling
SK Raina,4,Wankhede Stadium,Mumbai Indians,bowling
MA Wood,5,Wankhede Stadium,Mumbai Indians,bowling
KH Pandya,48,Wankhede Stadium,Chennai Super Kings,batting
M Markande,91,Wankhede Stadium,Chennai Super Kings,batting
MJ McClenaghan,25,Wankhede Stadium,Chennai Super Kings,batting
JJ Bumrah,33,Wankhede Stadium,Chennai Super Kings,batting
RG Sharma,24,Wankhede Stadium,Chennai Super Kings,batting
Imran Tahir,27,Wankhede Stadium,Mumbai Indians,bowling
AT Rayudu,34,Wankhede Stadium,Mumbai Indians,bowling
SA Yadav,59,Wankhede Stadium,Chennai Super Kings,batting
Harbhajan Singh,15,Wankhede Stadium,Mumbai Indians,bowling
DJ Bravo,83,Wankhede Stadium,Mumbai Indians,bowling
DL Chahar,33,Wankhede Stadium,Mumbai Indians,bowling
E Lewis,8,Wankhede Stadium,Chennai Super Kings,batting
SS Iyer,9,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,batting
RR Pant,34,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,batting
MM Sharma,58,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,bowling
V Shankar,19,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,batting
Mujeeb Ur Rahman,58,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,bowling
DT Christian,36,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,batting
MA Agarwal,9,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,bowling
R Ashwin,33,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,bowling
KL Rahul,73,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,bowling
DA Miller,25,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,bowling
C Munro,4,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,batting
Mohammed Shami,16,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,batting
MP Stoinis,24,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,bowling
Yuvraj Singh,14,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,bowling
G Gambhir,60,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,batting
R Tewatia,35,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,batting
CH Morris,55,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,batting
KK Nair,59,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,bowling
AJ Tye,33,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,bowling
AR Patel,33,Punjab Cricket Association IS Bindra Stadium,Delhi Daredevils,bowling
A Mishra,0,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,batting
TA Boult,33,Punjab Cricket Association IS Bindra Stadium,Kings XI Punjab,batting
RK Singh,13,Eden Gardens,Royal Challengers Bangalore,bowling
SP Narine,95,Eden Gardens,Royal Challengers Bangalore,bowling
AD Russell,23,Eden Gardens,Royal Challengers Bangalore,bowling
Kuldeep Yadav,8,Eden Gardens,Royal Challengers Bangalore,bowling
SN Khan,4,Eden Gardens,Kolkata Knight Riders,batting
AB de Villiers,71,Eden Gardens,Kolkata Knight Riders,batting
KD Karthik,31,Eden Gardens,Royal Challengers Bangalore,bowling
UT Yadav,58,Eden Gardens,Kolkata Knight Riders,batting
CA Lynn,6,Eden Gardens,Royal Challengers Bangalore,bowling
Mandeep Singh,45,Eden Gardens,Kolkata Knight Riders,batting
BB McCullum,59,Eden Gardens,Kolkata Knight Riders,batting
K Khejroliya,0,Eden Gardens,Kolkata Knight Riders,batting
Washington Sundar,33,Eden Gardens,Kolkata Knight Riders,batting
R Vinay Kumar,63,Eden Gardens,Royal Challengers Bangalore,bowling
V Kohli,34,Eden Gardens,Kolkata Knight Riders,batting
Q de Kock,13,Eden Gardens,Kolkata Knight Riders,batting
MG Johnson,33,Eden Gardens,Royal Challengers Bangalore,bowling
YS Chahal,0,Eden Gardens,Kolkata Knight Riders,batting
CR Woakes,81,Eden Gardens,Kolkata Knight Riders,batting
RV Uthappa,15,Eden Gardens,Royal Challengers Bangalore,bowling
N Rana,90,Eden Gardens,Royal Challengers Bangalore,bowling
PP Chawla,25,Eden Gardens,Royal Challengers Bangalore,bowling
RA Tripathi,19,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
DJM Short,3,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
Shakib Al Hasan,50,Rajiv Gandhi International Stadium,Rajasthan Royals,bowling
S Kaul,75,Rajiv Gandhi International Stadium,Rajasthan Royals,bowling
AM Rahane,11,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
K Gowtham,0,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
MK Pandey,8,Rajiv Gandhi International Stadium,Rajasthan Royals,bowling
JD Unadkat,26,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
YK Pathan,8,Rajiv Gandhi International Stadium,Rajasthan Royals,bowling
BA Stokes,5,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
DS Kulkarni,3,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
JC Buttler,6,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
B Kumar,50,Rajiv Gandhi International Stadium,Rajasthan Royals,bowling
Rashid Khan,49,Rajiv Gandhi International Stadium,Rajasthan Royals,bowling
SV Samson,50,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
S Dhawan,87,Rajiv Gandhi International Stadium,Rajasthan Royals,bowling
S Gopal,14,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
KS Williamson,49,Rajiv Gandhi International Stadium,Rajasthan Royals,bowling
B Stanlake,25,Rajiv Gandhi International Stadium,Rajasthan Royals,bowling
B Laughlin,9,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
WP Saha,12,Rajiv Gandhi International Stadium,Rajasthan Royals,bowling
MS Dhoni,30,MA Chidambaram Stadium,Kolkata Knight Riders,bowling
RK Singh,10,MA Chidambaram Stadium,Chennai Super Kings,batting
SP Narine,39,MA Chidambaram Stadium,Chennai Super Kings,batting
AD Russell,109,MA Chidambaram Stadium,Chennai Super Kings,batting
SR Watson,134,MA Chidambaram Stadium,Kolkata Knight Riders,bowling
Kuldeep Yadav,25,MA Chidambaram Stadium,Chennai Super Kings,batting
RA Jadeja,44,MA Chidambaram Stadium,Kolkata Knight Riders,bowling
SN Thakur,25,MA Chidambaram Stadium,Kolkata Knight Riders,bowling
KD Karthik,36,MA Chidambaram Stadium,Chennai Super Kings,batting
SK Raina,24,MA Chidambaram Stadium,Kolkata Knight Riders,bowling
DJ Bravo,21,MA Chidambaram Stadium,Kolkata Knight Riders,bowling
CA Lynn,26,MA Chidambaram Stadium,Chennai Super Kings,batting
R Vinay Kumar,8,MA Chidambaram Stadium,Chennai Super Kings,batting
DL Chahar,0,MA Chidambaram Stadium,Kolkata Knight Riders,bowling
TK Curran,50,MA Chidambaram Stadium,Chennai Super Kings,batting
Imran Tahir,0,MA Chidambaram Stadium,Kolkata Knight Riders,bowling
AT Rayudu,46,MA Chidambaram Stadium,Kolkata Knight Riders,bowling
Harbhajan Singh,25,MA Chidambaram Stadium,Kolkata Knight Riders,bowling
RV Uthappa,43,MA Chidambaram Stadium,Chennai Super Kings,batting
N Rana,18,MA Chidambaram Stadium,Chennai Super Kings,batting
SW Billings,66,MA Chidambaram Stadium,Kolkata Knight Riders,bowling
PP Chawla,25,MA Chidambaram Stadium,Chennai Super Kings,batting
DJM Short,7,Sawai Mansingh Stadium,Delhi Daredevils,batting
AM Rahane,50,Sawai Mansingh Stadium,Delhi Daredevils,batting
RR Pant,27,Sawai Mansingh Stadium,Rajasthan Royals,bowling
K Gowtham,33,Sawai Mansingh Stadium,Delhi Daredevils,batting
V Shankar,3,Sawai Mansingh Stadium,Rajasthan Royals,bowling
JD Unadkat,25,Sawai Mansingh Stadium,Delhi Daredevils,batting
BA Stokes,27,Sawai Mansingh Stadium,Delhi Daredevils,batting
GJ Maxwell,21,Sawai Mansingh Stadium,Rajasthan Royals,bowling
DS Kulkarni,0,Sawai Mansingh Stadium,Delhi Daredevils,batting
Mohammed Shami,33,Sawai Mansingh Stadium,Rajasthan Royals,bowling
JC Buttler,39,Sawai Mansingh Stadium,Delhi Daredevils,batting
S Nadeem,83,Sawai Mansingh Stadium,Rajasthan Royals,bowling
SV Samson,43,Sawai Mansingh Stadium,Delhi Daredevils,batting
CH Morris,27,Sawai Mansingh Stadium,Rajasthan Royals,bowling
R Tewatia,0,Sawai Mansingh Stadium,Rajasthan Royals,bowling
B Laughlin,50,Sawai Mansingh Stadium,Delhi Daredevils,batting
TA Boult,25,Sawai Mansingh Stadium,Rajasthan Royals,bowling
RA Tripathi,17,Sawai Mansingh Stadium,Delhi Daredevils,batting
BCJ Cutting,10,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
Ishan Kishan,25,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
DJ Hooda,41,Rajiv Gandhi International Stadium,Mumbai Indians,bowling
Shakib Al Hasan,46,Rajiv Gandhi International Stadium,Mumbai Indians,bowling
S Kaul,58,Rajiv Gandhi International Stadium,Mumbai Indians,bowling
PJ Sangwan,-2,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
MK Pandey,12,Rajiv Gandhi International Stadium,Mumbai Indians,bowling
Mustafizur Rahman,75,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
YK Pathan,24,Rajiv Gandhi International Stadium,Mumbai Indians,bowling
KH Pandya,23,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
M Markande,123,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
JJ Bumrah,60,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
Rashid Khan,33,Rajiv Gandhi International Stadium,Mumbai Indians,bowling
E Lewis,34,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
RG Sharma,22,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
S Dhawan,57,Rajiv Gandhi International Stadium,Mumbai Indians,bowling
SA Yadav,32,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
KS Williamson,15,Rajiv Gandhi International Stadium,Mumbai Indians,bowling
Sandeep Sharma,58,Rajiv Gandhi International Stadium,Mumbai Indians,bowling
B Stanlake,56,Rajiv Gandhi International Stadium,Mumbai Indians,bowling
KA Pollard,43,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,batting
WP Saha,25,Rajiv Gandhi International Stadium,Mumbai Indians,bowling
MM Sharma,-3,M.Chinnaswamy Stadium,Royal Challengers Bangalore,batting
